country,gender,mean,n
AT,Male,7.3,471
AT,Female,7.3,570
AT,Both,7.3,1041
BE,Male,7.8,468
BE,Female,7.8,542
BE,Both,7.8,1010
BG,Male,5.8,416
BG,Female,5.8,555
BG,Both,5.8,971
CH,Male,8.0,512
CH,Female,7.9,603
CH,Both,7.9,1115
DE,Male,7.1,489
DE,Female,7.2,561
DE,Both,7.1,1050
DK,Male,8.3,455
DK,Female,8.4,521
DK,Both,8.3,976
ES,Male,6.5,478
ES,Female,6.6,560
ES,Both,6.5,1038
FI,Male,8.5,461
FI,Female,8.6,549
FI,Both,8.5,1010
FR,Male,6.7,495
FR,Female,6.8,572
FR,Both,6.7,1067
GR,Male,5.5,420
GR,Female,5.6,498
GR,Both,5.5,918
HU,Male,5.9,402
HU,Female,6.0,481
HU,Both,5.9,883
IE,Male,7.0,447
IE,Female,7.1,520
IE,Both,7.0,967
IT,Male,6.4,485
IT,Female,6.5,559
IT,Both,6.4,1044
NL,Male,7.6,470
NL,Female,7.7,548
NL,Both,7.6,1018
NO,Male,7.4,452
NO,Female,7.5,517
NO,Both,7.4,969
PL,Male,6.2,438
PL,Female,6.3,505
PL,Both,6.2,943
PT,Male,6.0,425
PT,Female,6.1,502
PT,Both,6.0,927
RO,Male,6.3,418
RO,Female,6.4,491
RO,Both,6.3,909
SE,Male,7.4,464
SE,Female,7.5,540
SE,Both,7.4,1004
UK,Male,7.0,490
UK,Female,7.1,562
UK,Both,7.0,1052
